copy,scores
"바다 건너 황금의 땅, 꿈의 신대륙을 향한 모험이 시작된다!",8315
"황금의 땅, 꿈의 대륙을 향한 모험이 시작된다!",6891
"""가난뱅이 영애, 재클린의 인생 역전! 황금의 땅, 신대륙에서 펼쳐지는 모험과 사랑 이야기!""",6429
"황금의 땅, 꿈의 대륙을 찾아 나선 재클린의 모험! 몰락한 백작가의 영애에서 성공한 사업가로, 그녀의 파란만장한 인생 역전이 시작됩니다!",12469
"가난뱅이 영애 재클린, 황금의 땅을 찾아 프레스턴 가로 떠나다!",4196
"황금의 땅을 찾아 떠난 아버지, 그리고 남겨진 '가난뱅이 영애' 재클린. 그녀의 앞에 나타난 윈저 프레스턴 후작과의 운명적인 만남!",4455
"가난뱅이 영애 재클린, 황금의 땅을 찾아 프레스턴 가로 향하다!",6069
"""가난뱅이 영애 재클린, 귀족가의 가정교사가 되다! 과연 그녀는 편견을 이겨내고 성공할 수 있을까?""",7832
"황금의 땅을 찾아 떠난 아버지를 잃은 '가난뱅이 영애' 재클린, 그녀의 앞에 나타난 윈저 프레스턴 후작! 과연 그녀는 새로운 삶을 찾을 수 있을까?",8964
"황금의 땅, 꿈의 대륙을 향한 모험이 시작된다!",8705
"'꿈의 대륙'을 찾아 떠난 서머셋 백작의 딸, 재클린. 그녀의 앞에 나타난 '검은 함대의 악마', 윈저 프레스턴 후작! 과연 재클린은 프레스턴 후작가의 가정교사로 무사히 살아남을 수 있을까?",12518
"가난뱅이 영애 재클린, 귀족가의 가정교사가 되다!",5061
"황금의 땅, 꿈의 대륙을 찾아 나선 재클린의 모험! 로맨스와 스릴러가 결합된 이 웹소설을 지금 바로 만나보세요!",5036
"가난뱅이 영애 재클린, 황금의 땅을 찾아 떠나다!",14576
"""가난뱅이 영애, 재클린의 인생역전! 황금의 땅, 신대륙에서 펼쳐지는 모험과 사랑 이야기!""",6547
"바다 건너 황금의 땅, 꿈의 신대륙을 찾아 나선 모험가들의 이야기! 그 속에서 펼쳐지는 사랑과 우정, 그리고 배신. 과연 재클린은 무사히 프레스턴 경의 저택에 가정교사로 들어갈 수 있을까?",10760
"황금의 땅, 꿈의 대륙을 찾아 나선 재클린의 모험! 과연 그녀는 새로운 삶을 찾을 수 있을까?",11228
"황금의 땅을 찾아 떠난 아버지를 잃은 재클린, 그녀의 앞에 나타난 윈저 프레스턴 후작! 이들의 운명은 어떻게 될 것인가?",8319
"황금의 땅, 꿈의 대륙을 찾아 나선 재클린의 모험! 몰락한 백작가의 영애에서 성공한 사업가로, 그녀의 인생 2회차가 시작된다!",9574
"가난뱅이 영애 재클린, 황금의 땅을 찾아 떠나다!",11383
"황금의 땅을 찾아 나선 서머셋 백작의 딸, 재클린! 그녀의 앞에 나타난 윈저 프레스턴 후작과의 운명적인 만남! 과연 재클린은 새로운 삶을 찾을 수 있을 것인가?",5023
"황금의 땅, 꿈의 대륙을 향한 모험! 재클린과 윈저의 운명적인 만남이 시작됩니다.",7644
